Académie;Département ;Série ;Sexe;admis;présents;Session;pourcentage d'admis
LA REUNION;LA REUNION;BAC S;2;1262;1335;2012;94,53183521
STRASBOURG;HAUT-RHIN;BAC L;1;0;3;2012;0
STRASBOURG;HAUT-RHIN;BAC ES;2;0;0;2012;#DIV/0!
LYON;RHONE;BAC S;2;863;914;2012;94,42013129
MAYOTTE;MAYOTTE;BAC S;2;536;584;2012;91,78082192
MONTPELLIER;PYRENEES-ORIENTALES;BAC L;1;5;16;2012;31,25
STRASBOURG;BAS-RHIN;BAC S;1;157;167;2012;94,01197605
MARTINIQUE;MARTINIQUE;BAC S;1;92;100;2012;92
STRASBOURG;BAS-RHIN;BAC L;1;25;28;2012;89,28571429
STRASBOURG;BAS-RHIN;BAC ES;2;2;6;2012;33,33333333
CRETEIL;SEINE-SAINT-DENIS;BAC ES;1;12;32;2012;37,5
LYON;RHONE;BAC L;2;2;2;2012;100
CRETEIL;SEINE-SAINT-DENIS;BAC S;1;7;8;2012;87,5
LYON;RHONE;BAC ES;1;1;1;2012;100
DIJON;SAONE-ET-LOIRE;BAC L;1;5;13;2012;38,46153846
DIJON;SAONE-ET-LOIRE;BAC S;1;930;1009;2012;92,17046581
CRETEIL;SEINE-SAINT-DENIS;BAC L;1;0;2;2012;0
NICE;VAR;BAC ES;2;92;114;2012;80,70175439
NICE;VAR;BAC L;2;8;8;2012;100
AIX-MARSEILLE;VAUCLUSE;BAC S;2;247;291;2012;84,87972509
TOULOUSE;TARN;BAC S;2;0;0;2012;#DIV/0!
TOULOUSE;TARN;BAC ES;2;1;1;2012;100
TOULOUSE;TARN-ET-GARONNE;BAC S;2;183;194;2012;94,32989691
TOULOUSE;TARN-ET-GARONNE;BAC L;1;20;23;2012;86,95652174
NANTES;SARTHE;BAC ES;2;7;7;2012;100
NANTES;SARTHE;BAC L;1;1;2;2012;50
GRENOBLE;SAVOIE;BAC S;2;2;4;2012;50
GRENOBLE;SAVOIE;BAC ES;2;127;151;2012;84,10596026
PARIS;PARIS;BAC S;1;9;9;2012;100
VERSAILLES;ESSONNE;BAC S;2;2;2;2012;100
VERSAILLES;ESSONNE;BAC L;1;13;13;2012;100
VERSAILLES;ESSONNE;BAC ES;2;0;1;2012;0
VERSAILLES;HAUTS-DE-SEINE;BAC S;2;1;2;2012;50
GRENOBLE;SAVOIE;BAC L;2;229;232;2012;98,70689655
GRENOBLE;HAUTE SAVOIE;BAC L;2;491;515;2012;95,33980583
ORLEANS-TOURS;EURE-ET-LOIR;BAC L;1;123;139;2012;88,48920863
BORDEAUX;DORDOGNE;BAC ES;2;18;19;2012;94,73684211
BORDEAUX;DORDOGNE;BAC L;2;2;3;2012;66,66666667
BORDEAUX;DORDOGNE;BAC S;1;306;349;2012;87,67908309
BESANCON;DOUBS;BAC ES;2;163;175;2012;93,14285714
NANCY-METZ;MEURTHE-ET-MOSELLE;BAC L;1;0;0;2012;#DIV/0!
CAEN;MANCHE;BAC ES;2;9;9;2012;100
REIMS;HAUTE-MARNE;BAC S;1;3;3;2012;100
BESANCON;JURA;BAC S;1;112;119;2012;94,11764706
BESANCON;JURA;BAC ES;1;65;73;2012;89,04109589
BORDEAUX;LANDES;BAC ES;1;0;1;2012;0
ORLEANS-TOURS;LOIR-ET-CHER;BAC ES;2;0;0;2012;#DIV/0!
NANTES;LOIRE-ATLANTIQUE;BAC ES;2;2;2;2012;100
CLERMONT-FERRAND;HAUTE-LOIRE;BAC S;2;356;393;2012;90,58524173
CLERMONT-FERRAND;HAUTE-LOIRE;BAC L;1;382;427;2012;89,46135831
CLERMONT-FERRAND;HAUTE-LOIRE;BAC ES;2;1;3;2012;33,33333333
TOULOUSE;HAUTE-GARONNE;BAC L;2;102;122;2012;83,60655738
RENNES;FINISTERE;BAC L;1;0;1;2012;0
AMIENS;OISE;BAC L;1;14;14;2012;100
CORSE;CORSE-DU-SUD;BAC L;2;9;11;2012;81,81818182
CORSE;HAUTE-CORSE;BAC L;2;52;57;2012;91,22807018
GUADELOUPE;GUADELOUPE;BAC S;1;211;223;2012;94,61883408
