Académie Lib L;Diplôme regroupé Lib L;Département Lib L;Série du baccalauréat Lib L;Nombre total d'admis;Nombre de présents;Série du baccalauréat Lib C;Sexe;Session;Situation déclarée candidat;Secteur d'enseignement;Contrat de l'établissement;TAUX DE REUSSITE (col E / col F * 100)
POITIERS;BAC GENERAL;CHARENTE;BAC SCIENTIFIQUE;3;4;BAC S;1;1997;1;2;0;75
TOULOUSE;BAC GENERAL;HAUTE-GARONNE;BAC SCIENTIFIQUE;1206;1430;BAC S;1;1997;1;1;X;84,33566434
TOULOUSE;BAC GENERAL;HAUTE-GARONNE;BAC LITTERAIRE;850;977;BAC L;2;1997;1;1;X;87,00102354
TOULOUSE;BAC GENERAL;GERS;BAC SCIENTIFIQUE;13;14;BAC S;1;1997;1;2;0;92,85714286
TOULOUSE;BAC GENERAL;GERS;BAC SCIENTIFIQUE;2;2;BAC S;2;1997;1;2;0;100
TOULOUSE;BAC GENERAL;GERS;BAC ECONOMIQUE ET SOCIAL;1;2;BAC ES;2;1997;5;1;X;50
TOULOUSE;BAC GENERAL;HAUTE-GARONNE;BAC SCIENTIFIQUE;145;176;BAC S;2;1997;1;2;2;82,38636364
ORLEANS-TOURS;BAC GENERAL;EURE-ET-LOIR;BAC ECONOMIQUE ET SOCIAL;2;4;BAC ES;2;1997;2;-;-;50
MONTPELLIER;BAC GENERAL;GARD;BAC LITTERAIRE;103;128;BAC L;1;1997;1;1;X;80,46875
BORDEAUX;BAC GENERAL;GIRONDE;BAC LITTERAIRE;13;26;BAC L;2;1997;1;2;0;50
RENNES;BAC GENERAL;FINISTERE;BAC SCIENTIFIQUE;2;3;BAC S;2;1997;1;2;0;66,66666667
RENNES;BAC GENERAL;FINISTERE;BAC LITTERAIRE;3;12;BAC L;2;1997;5;1;X;25
ORLEANS-TOURS;BAC GENERAL;EURE-ET-LOIR;BAC ECONOMIQUE ET SOCIAL;37;38;BAC ES;2;1997;1;2;2;97,36842105
MONTPELLIER;BAC GENERAL;GARD;BAC SCIENTIFIQUE;4;14;BAC S;2;1997;2;-;-;28,57142857
RENNES;BAC GENERAL;FINISTERE;BAC SCIENTIFIQUE;1;6;BAC S;2;1997;5;1;X;16,66666667
GRENOBLE;BAC GENERAL;DROME;BAC SCIENTIFIQUE;6;9;BAC S;1;1997;5;1;X;66,66666667
GRENOBLE;BAC GENERAL;DROME;BAC ECONOMIQUE ET SOCIAL;4;6;BAC ES;1;1997;2;-;-;66,66666667
ORLEANS-TOURS;BAC GENERAL;INDRE;BAC ECONOMIQUE ET SOCIAL;69;104;BAC ES;1;1997;1;1;X;66,34615385
ORLEANS-TOURS;BAC GENERAL;INDRE-ET-LOIRE;BAC ECONOMIQUE ET SOCIAL;218;279;BAC ES;1;1997;1;1;X;78,13620072
GRENOBLE;BAC GENERAL;ISERE;BAC ECONOMIQUE ET SOCIAL;784;926;BAC ES;2;1997;1;1;X;84,66522678
RENNES;BAC GENERAL;ILLE-ET-VILAINE;BAC LITTERAIRE;73;94;BAC L;1;1997;1;2;2;77,65957447
BORDEAUX;BAC GENERAL;GIRONDE;BAC ECONOMIQUE ET SOCIAL;10;26;BAC ES;1;1997;2;-;-;38,46153846
BORDEAUX;BAC GENERAL;GIRONDE;BAC ECONOMIQUE ET SOCIAL;7;13;BAC ES;1;1997;5;1;X;53,84615385
