Académie Lib L;Diplôme regroupé Lib L;Département Lib L;Série du baccalauréat Lib L;Nombre total d'admis;Nombre de présents;Série du baccalauréat Lib C;Sexe;Session;Situation déclarée candidat;Secteur d'enseignement;Contrat de l'établissement;TAUX DE REUSSITE (col E / col F * 100)
VERSAILLES;BAC GENERAL;VAL-D'OISE;BAC SCIENTIFIQUE;5;10;BAC S;1;2009;5;1;X;50
CORSE;BAC GENERAL;CORSE-DU-SUD;BAC ECONOMIQUE ET SOCIAL;114;130;BAC ES;2;2009;1;1;X;87,69230769
CORSE;BAC GENERAL;CORSE-DU-SUD;BAC LITTERAIRE;8;9;BAC L;1;2009;1;2;2;88,88888889
CORSE;BAC GENERAL;CORSE-DU-SUD;BAC ECONOMIQUE ET SOCIAL;1;1;BAC ES;2;2009;5;1;X;100
CORSE;BAC GENERAL;CORSE-DU-SUD;BAC LITTERAIRE;0;0;BAC L;1;2009;2;-;-;#DIV/0!
CORSE;BAC GENERAL;HAUTE-CORSE;BAC LITTERAIRE;9;10;BAC L;2;2009;1;2;2;90
CORSE;BAC GENERAL;HAUTE-CORSE;BAC ECONOMIQUE ET SOCIAL;1;1;BAC ES;1;2009;5;1;X;100
LYON;BAC GENERAL;RHONE;BAC SCIENTIFIQUE;1671;1847;BAC S;1;2009;1;1;X;90,47103411
LYON;BAC GENERAL;RHONE;BAC SCIENTIFIQUE;1506;1628;BAC S;2;2009;1;1;X;92,50614251
LYON;BAC GENERAL;RHONE;BAC LITTERAIRE;166;191;BAC L;1;2009;1;1;X;86,91099476
LYON;BAC GENERAL;RHONE;BAC SCIENTIFIQUE;841;868;BAC S;1;2009;1;2;2;96,88940092
CRETEIL;BAC GENERAL;SEINE-SAINT-DENIS;BAC ECONOMIQUE ET SOCIAL;21;46;BAC ES;1;2009;2;-;-;45,65217391
STRASBOURG;BAC GENERAL;HAUT-RHIN;BAC SCIENTIFIQUE;626;668;BAC S;2;2009;1;1;X;93,71257485
STRASBOURG;BAC GENERAL;HAUT-RHIN;BAC LITTERAIRE;86;95;BAC L;1;2009;1;1;X;90,52631579
STRASBOURG;BAC GENERAL;HAUT-RHIN;BAC LITTERAIRE;0;1;BAC L;1;2009;2;-;-;0
CRETEIL;BAC GENERAL;SEINE-SAINT-DENIS;BAC LITTERAIRE;150;208;BAC L;1;2009;1;1;X;72,11538462
CRETEIL;BAC GENERAL;SEINE-SAINT-DENIS;BAC ECONOMIQUE ET SOCIAL;212;218;BAC ES;2;2009;1;2;2;97,24770642
TOULOUSE;BAC GENERAL;HAUTES-PYRENEES;BAC ECONOMIQUE ET SOCIAL;10;12;BAC ES;1;2009;1;2;2;83,33333333
TOULOUSE;BAC GENERAL;HAUTES-PYRENEES;BAC LITTERAIRE;1;2;BAC L;2;2009;5;1;X;50
MONTPELLIER;BAC GENERAL;PYRENEES-ORIENTALES;BAC ECONOMIQUE ET SOCIAL;73;75;BAC ES;2;2009;1;2;2;97,33333333
MONTPELLIER;BAC GENERAL;PYRENEES-ORIENTALES;BAC ECONOMIQUE ET SOCIAL;45;48;BAC ES;1;2009;1;2;2;93,75
MONTPELLIER;BAC GENERAL;PYRENEES-ORIENTALES;BAC LITTERAIRE;2;6;BAC L;2;2009;5;1;X;33,33333333
MONTPELLIER;BAC GENERAL;PYRENEES-ORIENTALES;BAC SCIENTIFIQUE;4;4;BAC S;1;2009;2;-;-;100
MONTPELLIER;BAC GENERAL;PYRENEES-ORIENTALES;BAC SCIENTIFIQUE;2;5;BAC S;2;2009;2;-;-;40
STRASBOURG;BAC GENERAL;BAS-RHIN;BAC LITTERAIRE;50;52;BAC L;2;2009;1;2;2;96,15384615
AMIENS;BAC GENERAL;OISE;BAC SCIENTIFIQUE;122;127;BAC S;2;2010;1;2;2;96,06299213
STRASBOURG;BAC GENERAL;BAS-RHIN;BAC ECONOMIQUE ET SOCIAL;4;4;BAC ES;1;2009;1;2;0;100
STRASBOURG;BAC GENERAL;BAS-RHIN;BAC LITTERAIRE;3;4;BAC L;1;2009;2;-;-;75
STRASBOURG;BAC GENERAL;BAS-RHIN;BAC SCIENTIFIQUE;4;9;BAC S;2;2009;5;1;X;44,44444444
STRASBOURG;BAC GENERAL;BAS-RHIN;BAC ECONOMIQUE ET SOCIAL;1;2;BAC ES;1;2009;5;1;X;50
GUADELOUPE;BAC GENERAL;GUADELOUPE;BAC SCIENTIFIQUE;10;26;BAC S;1;2009;2;-;-;38,46153846
BORDEAUX;BAC GENERAL;PYRENEES-ATLANTIQUES;BAC ECONOMIQUE ET SOCIAL;486;512;BAC ES;2;2009;1;1;X;94,921875
CLERMONT-FERRAND;BAC GENERAL;PUY-DE-DOME;BAC LITTERAIRE;2;3;BAC L;2;2009;5;1;X;66,66666667
MARTINIQUE;BAC GENERAL;MARTINIQUE;BAC LITTERAIRE;298;382;BAC L;2;2009;1;1;X;78,0104712
MARTINIQUE;BAC GENERAL;MARTINIQUE;BAC SCIENTIFIQUE;77;87;BAC S;2;2009;1;2;2;88,50574713
BORDEAUX;BAC GENERAL;PYRENEES-ATLANTIQUES;BAC SCIENTIFIQUE;240;254;BAC S;1;2009;1;2;2;94,48818898
BORDEAUX;BAC GENERAL;PYRENEES-ATLANTIQUES;BAC LITTERAIRE;75;78;BAC L;2;2009;1;2;2;96,15384615
GUYANE;BAC GENERAL;GUYANE;BAC SCIENTIFIQUE;111;154;BAC S;1;2009;1;1;X;72,07792208
TOULOUSE;BAC GENERAL;HAUTES-PYRENEES;BAC SCIENTIFIQUE;0;0;BAC S;1;2009;2;-;-;#DIV/0!
LILLE;BAC GENERAL;NORD;BAC LITTERAIRE;3;9;BAC L;1;2009;2;-;-;33,33333333
NANTES;BAC GENERAL;VENDEE;BAC LITTERAIRE;37;42;BAC L;1;2010;1;1;X;88,0952381
POITIERS;BAC GENERAL;VIENNE;BAC LITTERAIRE;69;89;BAC L;1;2010;1;1;X;77,52808989
VERSAILLES;BAC GENERAL;VAL-D'OISE;BAC LITTERAIRE;589;690;BAC L;2;2010;1;1;X;85,36231884
NANTES;BAC GENERAL;VENDEE;BAC ECONOMIQUE ET SOCIAL;3;6;BAC ES;2;2010;2;-;-;50
NANTES;BAC GENERAL;VENDEE;BAC SCIENTIFIQUE;1;2;BAC S;2;2010;5;1;X;50
LIMOGES;BAC GENERAL;HAUTE-VIENNE;BAC LITTERAIRE;8;9;BAC L;1;2010;1;2;2;88,88888889
LIMOGES;BAC GENERAL;HAUTE-VIENNE;BAC LITTERAIRE;0;1;BAC L;2;2010;5;1;X;0
NANCY-METZ;BAC GENERAL;VOSGES;BAC SCIENTIFIQUE;406;478;BAC S;1;2010;1;1;X;84,93723849
NANCY-METZ;BAC GENERAL;VOSGES;BAC ECONOMIQUE ET SOCIAL;141;164;BAC ES;1;2010;1;1;X;85,97560976
CORSE;BAC GENERAL;CORSE-DU-SUD;BAC LITTERAIRE;1;2;BAC L;1;2010;2;-;-;50
DIJON;BAC GENERAL;YONNE;BAC SCIENTIFIQUE;262;302;BAC S;1;2010;1;1;X;86,75496689
NANCY-METZ;BAC GENERAL;VOSGES;BAC ECONOMIQUE ET SOCIAL;24;24;BAC ES;1;2010;1;2;2;100
DIJON;BAC GENERAL;YONNE;BAC ECONOMIQUE ET SOCIAL;101;124;BAC ES;1;2010;1;1;X;81,4516129
GUADELOUPE;BAC GENERAL;GUADELOUPE;BAC LITTERAIRE;67;97;BAC L;1;2010;1;1;X;69,07216495
NANCY-METZ;BAC GENERAL;VOSGES;BAC SCIENTIFIQUE;1;1;BAC S;1;2010;5;1;X;100
NANCY-METZ;BAC GENERAL;VOSGES;BAC SCIENTIFIQUE;4;7;BAC S;2;2010;2;-;-;57,14285714
DIJON;BAC GENERAL;YONNE;BAC LITTERAIRE;16;21;BAC L;2;2010;1;2;2;76,19047619
BESANCON;BAC GENERAL;TERRITOIRE DE BELFORT;BAC ECONOMIQUE ET SOCIAL;104;111;BAC ES;2;2010;1;1;X;93,69369369
AIX-MARSEILLE;BAC GENERAL;VAUCLUSE;BAC SCIENTIFIQUE;483;546;BAC S;2;2010;1;1;X;88,46153846
BESANCON;BAC GENERAL;TERRITOIRE DE BELFORT;BAC SCIENTIFIQUE;44;46;BAC S;2;2010;1;2;2;95,65217391
AIX-MARSEILLE;BAC GENERAL;VAUCLUSE;BAC LITTERAIRE;20;20;BAC L;1;2010;1;2;2;100
AIX-MARSEILLE;BAC GENERAL;VAUCLUSE;BAC ECONOMIQUE ET SOCIAL;59;61;BAC ES;1;2010;1;2;2;96,72131148
AIX-MARSEILLE;BAC GENERAL;VAUCLUSE;BAC ECONOMIQUE ET SOCIAL;0;2;BAC ES;1;2010;2;-;-;0
CRETEIL;BAC GENERAL;VAL-DE-MARNE;BAC SCIENTIFIQUE;0;1;BAC S;2;2010;1;2;0;0
ROUEN;BAC GENERAL;SEINE MARITIME;BAC LITTERAIRE;676;817;BAC L;2;2010;1;1;X;82,74173807
CLERMONT-FERRAND;BAC GENERAL;PUY-DE-DOME;BAC SCIENTIFIQUE;491;531;BAC S;1;2010;1;1;X;92,46704331
BORDEAUX;BAC GENERAL;PYRENEES-ATLANTIQUES;BAC ECONOMIQUE ET SOCIAL;89;93;BAC ES;1;2010;1;2;2;95,69892473
PARIS;BAC GENERAL;PARIS;BAC SCIENTIFIQUE;1384;1429;BAC S;1;2010;1;2;2;96,85094472
PARIS;BAC GENERAL;PARIS;BAC SCIENTIFIQUE;137;229;BAC S;1;2010;1;2;0;59,82532751
CAEN;BAC GENERAL;ORNE;BAC SCIENTIFIQUE;187;221;BAC S;1;2010;1;1;X;84,61538462
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC SCIENTIFIQUE;1090;1240;BAC S;2;2010;1;1;X;87,90322581
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC LITTERAIRE;146;175;BAC L;1;2010;1;1;X;83,42857143
PARIS;BAC GENERAL;PARIS;BAC LITTERAIRE;200;221;BAC L;1;2009;1;2;2;90,49773756
PARIS;BAC GENERAL;PARIS;BAC SCIENTIFIQUE;1378;1427;BAC S;1;2009;1;2;2;96,56622285
PARIS;BAC GENERAL;PARIS;BAC LITTERAIRE;57;104;BAC L;2;2009;1;2;0;54,80769231
PARIS;BAC GENERAL;PARIS;BAC LITTERAIRE;25;51;BAC L;1;2009;2;-;-;49,01960784
ROUEN;BAC GENERAL;SEINE MARITIME;BAC SCIENTIFIQUE;357;370;BAC S;1;2009;1;2;2;96,48648649
ROUEN;BAC GENERAL;SEINE MARITIME;BAC ECONOMIQUE ET SOCIAL;211;222;BAC ES;2;2009;1;2;2;95,04504505
CRETEIL;BAC GENERAL;SEINE-ET-MARNE;BAC SCIENTIFIQUE;1257;1418;BAC S;2;2009;1;1;X;88,64598025
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC ECONOMIQUE ET SOCIAL;9;9;BAC ES;2;2010;2;-;-;100
CLERMONT-FERRAND;BAC GENERAL;PUY-DE-DOME;BAC LITTERAIRE;80;98;BAC L;1;2010;1;1;X;81,63265306
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC LITTERAIRE;4;4;BAC L;2;2010;5;1;X;100
CLERMONT-FERRAND;BAC GENERAL;PUY-DE-DOME;BAC SCIENTIFIQUE;103;118;BAC S;2;2010;1;2;2;87,28813559
CAEN;BAC GENERAL;ORNE;BAC SCIENTIFIQUE;0;1;BAC S;1;2010;2;-;-;0
CAEN;BAC GENERAL;ORNE;BAC LITTERAIRE;4;4;BAC L;1;2009;1;2;0;100
CAEN;BAC GENERAL;ORNE;BAC SCIENTIFIQUE;1;1;BAC S;2;2009;5;1;X;100
CAEN;BAC GENERAL;ORNE;BAC SCIENTIFIQUE;201;217;BAC S;2;2009;1;1;X;92,62672811
CAEN;BAC GENERAL;ORNE;BAC ECONOMIQUE ET SOCIAL;69;80;BAC ES;1;2009;1;1;X;86,25
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC SCIENTIFIQUE;11;12;BAC S;2;2009;1;2;0;91,66666667
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC SCIENTIFIQUE;1;1;BAC S;2;2009;5;1;X;100
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC LITTERAIRE;0;1;BAC L;1;2009;5;1;X;0
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC LITTERAIRE;3;4;BAC L;2;2009;5;1;X;75
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC SCIENTIFIQUE;19;24;BAC S;1;2009;2;-;-;79,16666667
AMIENS;BAC GENERAL;OISE;BAC SCIENTIFIQUE;653;756;BAC S;1;2009;1;1;X;86,37566138
ROUEN;BAC GENERAL;SEINE MARITIME;BAC ECONOMIQUE ET SOCIAL;0;2;BAC ES;2;2009;5;1;X;0
VERSAILLES;BAC GENERAL;VAL-D'OISE;BAC ECONOMIQUE ET SOCIAL;8;18;BAC ES;1;2010;2;-;-;44,44444444
CRETEIL;BAC GENERAL;SEINE-ET-MARNE;BAC LITTERAIRE;128;135;BAC L;2;2009;1;2;2;94,81481481
CORSE;BAC GENERAL;HAUTE-CORSE;BAC SCIENTIFIQUE;19;21;BAC S;1;2010;1;2;2;90,47619048
CORSE;BAC GENERAL;HAUTE-CORSE;BAC ECONOMIQUE ET SOCIAL;0;0;BAC ES;2;2010;2;-;-;#DIV/0!
CRETEIL;BAC GENERAL;VAL-DE-MARNE;BAC SCIENTIFIQUE;246;250;BAC S;2;2010;1;2;2;98,4
CRETEIL;BAC GENERAL;VAL-DE-MARNE;BAC LITTERAIRE;92;99;BAC L;2;2010;1;2;2;92,92929293
CRETEIL;BAC GENERAL;VAL-DE-MARNE;BAC SCIENTIFIQUE;17;31;BAC S;1;2010;2;-;-;54,83870968
CRETEIL;BAC GENERAL;VAL-DE-MARNE;BAC LITTERAIRE;9;16;BAC L;2;2010;2;-;-;56,25
VERSAILLES;BAC GENERAL;YVELINES;BAC SCIENTIFIQUE;427;430;BAC S;2;2009;1;2;2;99,30232558
VERSAILLES;BAC GENERAL;YVELINES;BAC ECONOMIQUE ET SOCIAL;254;258;BAC ES;1;2009;1;2;2;98,4496124
VERSAILLES;BAC GENERAL;YVELINES;BAC SCIENTIFIQUE;20;39;BAC S;1;2009;1;2;0;51,28205128
VERSAILLES;BAC GENERAL;YVELINES;BAC LITTERAIRE;7;12;BAC L;2;2009;5;1;X;58,33333333
CRETEIL;BAC GENERAL;SEINE-ET-MARNE;BAC SCIENTIFIQUE;3;5;BAC S;1;2009;5;2;0;60
CRETEIL;BAC GENERAL;SEINE-ET-MARNE;BAC SCIENTIFIQUE;1;1;BAC S;2;2009;5;2;0;100
CRETEIL;BAC GENERAL;SEINE-ET-MARNE;BAC ECONOMIQUE ET SOCIAL;1;1;BAC ES;1;2009;5;2;0;100
LYON;BAC GENERAL;LOIRE;BAC SCIENTIFIQUE;200;216;BAC S;1;2008;1;2;2;92,59259259
LYON;BAC GENERAL;LOIRE;BAC SCIENTIFIQUE;182;189;BAC S;2;2008;1;2;2;96,2962963
ORLEANS-TOURS;BAC GENERAL;INDRE-ET-LOIRE;BAC LITTERAIRE;3;4;BAC L;1;2008;5;1;X;75
ORLEANS-TOURS;BAC GENERAL;INDRE-ET-LOIRE;BAC ECONOMIQUE ET SOCIAL;3;6;BAC ES;2;2008;2;-;-;50
GRENOBLE;BAC GENERAL;ISERE;BAC ECONOMIQUE ET SOCIAL;503;569;BAC ES;1;2008;1;1;X;88,40070299
GRENOBLE;BAC GENERAL;ISERE;BAC SCIENTIFIQUE;2;6;BAC S;2;2008;5;1;X;33,33333333
GRENOBLE;BAC GENERAL;ISERE;BAC LITTERAIRE;6;10;BAC L;2;2008;2;-;-;60
BORDEAUX;BAC GENERAL;LANDES;BAC LITTERAIRE;13;14;BAC L;2;2008;1;2;2;92,85714286
BORDEAUX;BAC GENERAL;LANDES;BAC SCIENTIFIQUE;1;3;BAC S;1;2008;2;-;-;33,33333333
ORLEANS-TOURS;BAC GENERAL;LOIR-ET-CHER;BAC SCIENTIFIQUE;281;332;BAC S;1;2008;1;1;X;84,63855422
ORLEANS-TOURS;BAC GENERAL;LOIR-ET-CHER;BAC ECONOMIQUE ET SOCIAL;78;95;BAC ES;1;2008;1;1;X;82,10526316
CLERMONT-FERRAND;BAC GENERAL;HAUTE-LOIRE;BAC ECONOMIQUE ET SOCIAL;120;124;BAC ES;2;2008;1;1;X;96,77419355
CLERMONT-FERRAND;BAC GENERAL;HAUTE-LOIRE;BAC LITTERAIRE;0;0;BAC L;1;2008;2;-;-;#DIV/0!
ORLEANS-TOURS;BAC GENERAL;LOIRET;BAC LITTERAIRE;324;373;BAC L;2;2008;1;1;X;86,86327078
ORLEANS-TOURS;BAC GENERAL;LOIRET;BAC LITTERAIRE;71;96;BAC L;1;2008;1;1;X;73,95833333
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC ECONOMIQUE ET SOCIAL;3;9;BAC ES;1;2008;2;-;-;33,33333333
ORLEANS-TOURS;BAC GENERAL;LOIRET;BAC SCIENTIFIQUE;83;84;BAC S;2;2008;1;2;2;98,80952381
BESANCON;BAC GENERAL;JURA;BAC ECONOMIQUE ET SOCIAL;0;2;BAC ES;2;2008;2;-;-;0
BORDEAUX;BAC GENERAL;LOT-ET-GARONNE;BAC SCIENTIFIQUE;272;292;BAC S;2;2008;1;1;X;93,15068493
BORDEAUX;BAC GENERAL;LOT-ET-GARONNE;BAC ECONOMIQUE ET SOCIAL;1;2;BAC ES;2;2008;1;2;0;50
BORDEAUX;BAC GENERAL;LOT-ET-GARONNE;BAC LITTERAIRE;1;1;BAC L;1;2008;1;2;0;100
MONTPELLIER;BAC GENERAL;LOZERE;BAC LITTERAIRE;31;32;BAC L;2;2008;1;1;X;96,875
NANTES;BAC GENERAL;MAINE-ET-LOIRE;BAC SCIENTIFIQUE;430;451;BAC S;1;2008;1;2;2;95,34368071
NANTES;BAC GENERAL;MAINE-ET-LOIRE;BAC LITTERAIRE;5;5;BAC L;2;2008;1;2;0;100
CAEN;BAC GENERAL;MANCHE;BAC ECONOMIQUE ET SOCIAL;153;180;BAC ES;1;2008;1;1;X;85
CAEN;BAC GENERAL;MANCHE;BAC ECONOMIQUE ET SOCIAL;56;59;BAC ES;1;2008;1;2;2;94,91525424
CAEN;BAC GENERAL;MANCHE;BAC ECONOMIQUE ET SOCIAL;96;102;BAC ES;2;2008;1;2;2;94,11764706
CAEN;BAC GENERAL;MANCHE;BAC LITTERAIRE;2;3;BAC L;2;2008;5;1;X;66,66666667
CAEN;BAC GENERAL;MANCHE;BAC SCIENTIFIQUE;0;0;BAC S;1;2008;2;-;-;#DIV/0!
REIMS;BAC GENERAL;MARNE;BAC ECONOMIQUE ET SOCIAL;347;412;BAC ES;2;2008;1;1;X;84,22330097
REIMS;BAC GENERAL;MARNE;BAC SCIENTIFIQUE;119;126;BAC S;2;2008;1;2;2;94,44444444
REIMS;BAC GENERAL;HAUTE-MARNE;BAC SCIENTIFIQUE;189;219;BAC S;1;2008;1;1;X;86,30136986
REIMS;BAC GENERAL;HAUTE-MARNE;BAC SCIENTIFIQUE;26;28;BAC S;1;2008;1;2;2;92,85714286
REIMS;BAC GENERAL;HAUTE-MARNE;BAC ECONOMIQUE ET SOCIAL;13;15;BAC ES;2;2008;1;2;2;86,66666667
NANTES;BAC GENERAL;MAYENNE;BAC LITTERAIRE;7;8;BAC L;1;2008;1;2;2;87,5
TOULOUSE;BAC GENERAL;LOT;BAC SCIENTIFIQUE;26;30;BAC S;1;2008;1;2;2;86,66666667
TOULOUSE;BAC GENERAL;LOT;BAC ECONOMIQUE ET SOCIAL;11;11;BAC ES;1;2008;1;2;2;100
TOULOUSE;BAC GENERAL;LOT;BAC LITTERAIRE;12;13;BAC L;2;2008;1;2;2;92,30769231
NANTES;BAC GENERAL;MAYENNE;BAC ECONOMIQUE ET SOCIAL;2;2;BAC ES;2;2008;2;-;-;100
NANTES;BAC GENERAL;MAYENNE;BAC ECONOMIQUE ET SOCIAL;1;1;BAC ES;1;2008;1;2;0;100
MONTPELLIER;BAC GENERAL;LOZERE;BAC SCIENTIFIQUE;19;21;BAC S;2;2008;1;2;2;90,47619048
MONTPELLIER;BAC GENERAL;LOZERE;BAC LITTERAIRE;8;8;BAC L;1;2008;1;2;2;100
MONTPELLIER;BAC GENERAL;LOZERE;BAC LITTERAIRE;12;12;BAC L;1;2008;1;1;X;100
NANCY-METZ;BAC GENERAL;VOSGES;BAC ECONOMIQUE ET SOCIAL;159;180;BAC ES;1;2009;1;1;X;88,33333333
NANCY-METZ;BAC GENERAL;VOSGES;BAC SCIENTIFIQUE;29;31;BAC S;2;2009;1;2;2;93,5483871
NANCY-METZ;BAC GENERAL;VOSGES;BAC SCIENTIFIQUE;35;40;BAC S;1;2009;1;2;2;87,5
BESANCON;BAC GENERAL;TERRITOIRE DE BELFORT;BAC ECONOMIQUE ET SOCIAL;0;0;BAC ES;1;2009;2;-;-;#DIV/0!
BESANCON;BAC GENERAL;TERRITOIRE DE BELFORT;BAC LITTERAIRE;1;3;BAC L;2;2009;2;-;-;33,33333333
NANTES;BAC GENERAL;MAINE-ET-LOIRE;BAC LITTERAIRE;6;10;BAC L;2;2008;2;-;-;60
VERSAILLES;BAC GENERAL;YVELINES;BAC SCIENTIFIQUE;0;1;BAC S;2;2009;5;2;0;0
VERSAILLES;BAC GENERAL;YVELINES;BAC SCIENTIFIQUE;8;16;BAC S;2;2009;2;-;-;50
AIX-MARSEILLE;BAC GENERAL;VAUCLUSE;BAC ECONOMIQUE ET SOCIAL;244;282;BAC ES;1;2009;1;1;X;86,5248227
AIX-MARSEILLE;BAC GENERAL;VAUCLUSE;BAC LITTERAIRE;0;1;BAC L;1;2009;5;1;X;0
NANTES;BAC GENERAL;VENDEE;BAC LITTERAIRE;150;160;BAC L;2;2009;1;2;2;93,75
POITIERS;BAC GENERAL;VIENNE;BAC ECONOMIQUE ET SOCIAL;282;308;BAC ES;2;2009;1;1;X;91,55844156
POITIERS;BAC GENERAL;VIENNE;BAC SCIENTIFIQUE;23;30;BAC S;1;2009;1;2;2;76,66666667
LIMOGES;BAC GENERAL;HAUTE-VIENNE;BAC SCIENTIFIQUE;325;361;BAC S;2;2009;1;1;X;90,02770083
POITIERS;BAC GENERAL;VIENNE;BAC LITTERAIRE;0;0;BAC L;1;2009;5;1;X;#DIV/0!
LIMOGES;BAC GENERAL;HAUTE-VIENNE;BAC SCIENTIFIQUE;54;58;BAC S;2;2009;1;2;2;93,10344828
LIMOGES;BAC GENERAL;HAUTE-VIENNE;BAC ECONOMIQUE ET SOCIAL;2;2;BAC ES;2;2009;5;1;X;100
VERSAILLES;BAC GENERAL;HAUTS-DE-SEINE;BAC SCIENTIFIQUE;609;620;BAC S;2;2009;1;2;2;98,22580645
VERSAILLES;BAC GENERAL;ESSONNE;BAC ECONOMIQUE ET SOCIAL;4;14;BAC ES;1;2009;1;2;0;28,57142857
VERSAILLES;BAC GENERAL;ESSONNE;BAC LITTERAIRE;1;2;BAC L;1;2009;5;1;X;50
VERSAILLES;BAC GENERAL;ESSONNE;BAC LITTERAIRE;6;18;BAC L;2;2009;2;-;-;33,33333333
GRENOBLE;BAC GENERAL;HAUTE SAVOIE;BAC SCIENTIFIQUE;714;754;BAC S;2;2009;1;1;X;94,69496021
GRENOBLE;BAC GENERAL;HAUTE SAVOIE;BAC LITTERAIRE;31;33;BAC L;1;2009;1;2;2;93,93939394
GRENOBLE;BAC GENERAL;HAUTE SAVOIE;BAC LITTERAIRE;5;5;BAC L;2;2009;1;2;0;100
GRENOBLE;BAC GENERAL;HAUTE SAVOIE;BAC LITTERAIRE;1;1;BAC L;1;2009;2;-;-;100
LYON;BAC GENERAL;AIN;BAC SCIENTIFIQUE;560;600;BAC S;2;2009;1;1;X;93,33333333
LYON;BAC GENERAL;AIN;BAC ECONOMIQUE ET SOCIAL;0;0;BAC ES;1;2009;1;2;1;#DIV/0!
LYON;BAC GENERAL;AIN;BAC SCIENTIFIQUE;3;7;BAC S;1;2009;2;-;-;42,85714286
AMIENS;BAC GENERAL;AISNE;BAC SCIENTIFIQUE;102;112;BAC S;2;2009;1;2;2;91,07142857
CLERMONT-FERRAND;BAC GENERAL;ALLIER;BAC LITTERAIRE;152;171;BAC L;2;2009;1;1;X;88,88888889
CLERMONT-FERRAND;BAC GENERAL;ALLIER;BAC SCIENTIFIQUE;37;42;BAC S;1;2009;1;2;2;88,0952381
AIX-MARSEILLE;BAC GENERAL;ALPES-DE-HTE-PROVENCE;BAC SCIENTIFIQUE;189;216;BAC S;1;2009;1;1;X;87,5
CLERMONT-FERRAND;BAC GENERAL;ALLIER;BAC SCIENTIFIQUE;0;3;BAC S;1;2009;2;-;-;0
AIX-MARSEILLE;BAC GENERAL;ALPES-DE-HTE-PROVENCE;BAC SCIENTIFIQUE;2;2;BAC S;2;2009;1;2;2;100
AIX-MARSEILLE;BAC GENERAL;HAUTES-ALPES;BAC ECONOMIQUE ET SOCIAL;13;13;BAC ES;2;2009;1;2;2;100
AIX-MARSEILLE;BAC GENERAL;ALPES-DE-HTE-PROVENCE;BAC LITTERAIRE;2;3;BAC L;1;2009;2;-;-;66,66666667
NICE;BAC GENERAL;ALPES-MARITIMES;BAC ECONOMIQUE ET SOCIAL;20;31;BAC ES;1;2009;2;-;-;64,51612903
GRENOBLE;BAC GENERAL;ARDECHE;BAC SCIENTIFIQUE;130;139;BAC S;1;2009;1;2;2;93,52517986
GRENOBLE;BAC GENERAL;ARDECHE;BAC SCIENTIFIQUE;106;110;BAC S;2;2009;1;2;2;96,36363636
REIMS;BAC GENERAL;ARDENNES;BAC SCIENTIFIQUE;21;32;BAC S;1;2009;1;2;2;65,625
REIMS;BAC GENERAL;ARDENNES;BAC ECONOMIQUE ET SOCIAL;1;1;BAC ES;2;2009;2;-;-;100
TOULOUSE;BAC GENERAL;ARIEGE;BAC SCIENTIFIQUE;128;139;BAC S;1;2009;1;1;X;92,08633094
REIMS;BAC GENERAL;AUBE;BAC LITTERAIRE;41;44;BAC L;1;2009;1;1;X;93,18181818
AMIENS;BAC GENERAL;AISNE;BAC ECONOMIQUE ET SOCIAL;0;0;BAC ES;1;2009;5;1;X;#DIV/0!
AMIENS;BAC GENERAL;AISNE;BAC SCIENTIFIQUE;2;4;BAC S;2;2009;2;-;-;50
TOULOUSE;BAC GENERAL;AVEYRON;BAC LITTERAIRE;77;84;BAC L;2;2009;1;1;X;91,66666667
MONTPELLIER;BAC GENERAL;AUDE;BAC ECONOMIQUE ET SOCIAL;0;1;BAC ES;1;2009;5;1;X;0
MONTPELLIER;BAC GENERAL;AUDE;BAC SCIENTIFIQUE;0;1;BAC S;2;2009;2;-;-;0
AIX-MARSEILLE;BAC GENERAL;BOUCHES-DU-RHONE;BAC SCIENTIFIQUE;1491;1684;BAC S;2;2009;1;1;X;88,5391924
AIX-MARSEILLE;BAC GENERAL;BOUCHES-DU-RHONE;BAC ECONOMIQUE ET SOCIAL;700;822;BAC ES;1;2009;1;1;X;85,15815085
AIX-MARSEILLE;BAC GENERAL;BOUCHES-DU-RHONE;BAC LITTERAIRE;880;990;BAC L;2;2009;1;1;X;88,88888889
TOULOUSE;BAC GENERAL;AVEYRON;BAC SCIENTIFIQUE;0;1;BAC S;2;2009;5;1;X;0
AIX-MARSEILLE;BAC GENERAL;BOUCHES-DU-RHONE;BAC ECONOMIQUE ET SOCIAL;293;307;BAC ES;1;2009;1;2;2;95,43973941
AIX-MARSEILLE;BAC GENERAL;BOUCHES-DU-RHONE;BAC LITTERAIRE;260;274;BAC L;2;2009;1;2;2;94,89051095
AIX-MARSEILLE;BAC GENERAL;BOUCHES-DU-RHONE;BAC SCIENTIFIQUE;19;27;BAC S;2;2009;1;2;0;70,37037037
